Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
Alcoholic Bev. Control,144,125,19,45
Ches. Bay Brdg. Tunnel PD,43,41,2,44
Div. of Capitol Police,87,79,8,13
Dept of Conservation & Rec,93,84,9,83
Southside VA Trng Center,17,17,,2
Richmond Int'l Airport,22,18,4,1
VA Port Authority,69,64,5,5
Norfolk Arpt Authority,25,21,4,6
Metro. Wash.Airport Auth.,154,136,18,49
Virginia State Police,1759,1690,69,652
OTHER AGENCY TOTAL,2413,2275,138,900
