Day/Time,00:00-03:59,04:00-07:59,08:00-11:59,12:00-15:59,16:00-19:59,20:00-23:59,Unk
Monday,6329,4028,8777,9247,11273,8966,1228
Tuesday,5659,3815,8045,8909,10977,8921,1068
Wednesday,5789,3640,8435,9059,11133,9266,1061
Thursday,6122,3709,7995,8789,10918,9287,1107
Friday,6933,3771,8823,9930,13350,10659,1301
Saturday,8175,2940,7743,9581,10297,10289,1169
Sunday,7457,2636,6295,7995,9041,8435,939
