Type of Property,Burned,Counterfeited/Forged,Destroyed/Damaged/Vandalized,Recovered,Seized,Stolen
Aircraft,,,,,,
Alcohol,,,,"64,693",1,"180,029"
Automobiles,,,501,"59,833,270",,"91,417,876"
Bicycles,,,10,"178,126",,"1,866,406"
Buses,,,,"39,005",,"121,977"
Clothing/Furs,,,,"695,476",2,"3,837,701"
Computer Hardware/Software,,,"1,801","572,384",,"13,243,006"
Consumable Goods,,,71,"337,300",1,"1,555,991"
Credit/Debit Cards,,,,,,
Drugs/Narcotics,,,,"7,804",,"389,689"
Drug/Narcotic Equipment,,,,98,29,"8,042"
Farm Equipment,,,,"116,394",,"888,362"
Firearms,,,,"181,408",,"2,357,164"
Gambling Equipment,,,750,"1,402",,"14,912"
Heavy Construction/Industrial Equipment,,,"7,455","2,020,992",,"5,200,272"
Household Goods,,,"2,869","298,943",,"3,581,373"
Jewelry/Precious Metals,,,,"1,168,341",,"22,849,453"
Livestock,,,,"23,229",,"255,984"
Merchandise,,517,,"665,773",,"4,764,636"
Money,,90,,"2,137,740",42,"30,052,630"
Negotiable Instruments,,"1,227",,"341,349",99,"6,809,833"
Nonnegotiable Instruments,,,,,,
Office-type Equipment,,,"4,825","164,420",,"16,486,450"
Other Motor Vehicles,,,251,"2,880,905",,"7,672,162"
Purses/Handbags/Wallets,,,,"76,033",,"781,945"
Radios/TVs/VCRs,,,"2,662","594,585",,"10,423,403"
Recordings-Audio/Visual,,,,"249,423",,"9,663,333"
Recreational Vehicles,,,,"1,555,722",,"3,016,399"
Structures-Single Occupancy,,,"13,085",,,
Structures-Other Dwellings,,,120,,,
Structures-Other Commercial/Business,,,"2,200",,,
Structures-Industrial/Manufacturing,,,,,,
Structures-Public/Community,,,,,,
Structures-Storage,,,1,,,
Structures-Other,,,"2,204",,,
Tools,,,"14,783","427,866",,"9,791,778"
Trucks,,,,"9,284,413",,"15,066,395"
Vehicle Part/Accessories,,,"30,365","232,959",,"9,570,395"
Watercraft,,,,"211,247",,"832,011"
Other,,4,"36,231","1,984,769",2,"39,891,846"
Total,0,1838,120184,86346069,176,312591453
