Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,137,9.4
One-Man Vehicle,0,0
Alone,430,29.4
Assisted,560,38.3
Detective or Special Assignment,0,0
Alone,16,1.1
Assisted,44,3
Other Assignments,0,0
Alone,74,5.1
Assisted,200,13.7
