Days of Week/Number of Offenses,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Bribery,2,2,1,1,1,1,4
Counterfeiting/Forgery,1286,1272,1310,1321,1338,987,731
Destruction/Vandalism,12496,11595,11964,11656,14753,14853,12830
Embezzlement,494,428,478,526,519,388,305
Extortion,16,8,12,13,6,7,9
Fraud,2042,1913,1936,1907,2012,1536,1028
Stolen Property,148,171,195,188,214,171,145
Total,16484,15389,15896,15612,18843,17943,15052
