Location,Number of Offenses
Air/Bus/Train Terminal,515
Bank/Savings & Loan,491
Bar/Night Club,771
Church/Synagogue/Temple,796
Commercial/Office Building,5628
Construction Site,2091
Convenience Store,8942
Department/Discount Store,11156
Drug Store/Dr Office/Hospital,2045
Field/Woods,827
Government/Public Building,1446
Grocery/Supermarket,5438
Highway/Road/Alley,11542
Hotel/Motel/Etc.,2045
Jail/Penitentiary,45
Lake/Waterway,300
Liquor Store,178
Parking Lot/Garage,21440
Rental/Storage Facility,736
Residence/Home,54184
Restaurant,3398
School/College,5929
Service/Gas Station,9042
Specialty Store,5743
Other/Unknown,14732
Total,169460
