Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
College & University,,,,
University of Virginia PD,58,45,13,64
Geo. Mason Univ. PD,44,36,8,12
N. VA Comm. Col. PD,32,26,6,0
Ferrum College PD,7,4,3,0
Virginia Tech PD,32,27,5,17
Longwood Col. PD,13,12,1,7
James Madison Univ. PD,21,18,3,5
Emory & Henry Col. PD,1,1,0,3
UVA's Col. at Wise PD,7,6,1,1
Mary Wash. Col. PD,12,11,1,8
Thomas Nelson Col. PD,6,6,0,1
Hampton University PD,27,23,4,17
Christopher Newport PD,13,8,5,1
Norfolk State Univ. PD,34,24,10,23
Virginia State Univ. PD,22,15,7,13
VA Wstrn Comm. Col. PD,6,6,0,0
William & Mary Col. PD,19,17,2,5
Radford Univ. PD,19,17,2,5
VA Commonwlth Univ. PD,68,56,12,34
Univ. of Richmond PD,16,14,2,16
Old Dominion Campus PD,37,32,5,29
Virginia Military Institute,6,6,0,0
COLLEGE AND UNIVERSITY TOTAL,500,410,90,261
