Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement,0,0,1,5,25,46,77
Stolen Property Offenses,0,10,33,29,40,43,155
Destruction/Damage/Vandalism,64,193,365,218,328,282,1450
Drug/Narcotic Violations,2,31,359,416,773,1042,2623
Drug Equipment Violations,0,0,1,5,6,10,22
Incest,0,0,2,0,1,0,3
Statutory Rape,0,0,1,0,1,11,13
Pornography/Obscene Material,0,0,1,0,0,1,2
Betting/Wagering,0,0,2,0,4,1,7
Operating/Promoting/Assisting Gambling,0,0,0,0,0,0,0
Gambling Equipment Violations,0,0,0,0,0,0,0
Sports Tampering,0,0,0,0,0,0,0
Prostitution,0,0,0,0,1,1,2
Assisting or Promoting Prostitution,0,0,0,0,0,0,0
Bribery,0,0,0,0,0,0,0
Weapon Law Violations,16,47,152,106,137,130,588
Total Group A Arrests,237,1745,4383,3257,4009,4212,17843
Bad Checks,0,0,2,1,1,13,17
Curfew/Loitering/Vagrancy Violations,2,69,424,409,628,711,2243
Disorderly Conduct,7,102,347,328,322,240,1346
Driving Under the Influence,0,0,9,22,87,215,333
Drunkenness,0,6,36,32,72,128,274
"Family Offenses, Nonviolent",0,1,2,5,9,8,25
Liquor Law Violations,0,26,203,279,595,859,1962
Peeping Tom,0,0,4,1,0,1,6
Runaway,12,149,749,698,881,595,3084
Trespass of Real Property,13,69,181,195,272,284,1014
Conspiracy to Commit Group A Offense,0,0,1,4,1,3,9
Conspiracy to Commit Group B Offense,0,0,0,0,0,0,0
All Other Offenses,62,289,1379,1493,1895,1822,6940
Total Group B Arrests,96,711,3337,3467,4763,4879,17253
