Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Clifton Forge,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,6,3,6,0,0,0,0,0,8,0,0,0,0,0,1,1,16,6,15,0,0,0,10,0,1,0,15,0,0,0,39,2,0,0,1,0,1,0,1,0,8,4,0,0,0,0,0,0,137,16
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
Kidnaping,3,0,2,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,25,0,0,0,4,0,1,0,22,2,1,0,0,1,2,0,44,1,35,1,0,0,0,0,0,0,49,2,0,0,45,0,0,0,1,0,3,0,14,0,23,2,5,0,3,0,0,0,296,10
"Sex Offenses, Forcible",8,2,3,1,10,0,4,1,17,1,0,0,1,0,0,0,0,0,5,1,1,1,3,0,0,0,2,0,7,1,1,0,36,7,9,2,8,1,1,0,17,4,2,1,2,0,9,2,65,23,53,12,2,0,6,2,0,0,27,1,0,0,58,15,1,0,1,1,9,7,17,0,72,44,12,2,1,2,10,2,480,136
Robbery,20,18,0,0,6,1,0,0,14,4,0,0,0,0,8,0,0,0,13,0,6,4,0,0,0,1,5,2,5,1,1,0,92,5,17,7,20,4,0,0,14,5,13,1,1,0,15,5,88,36,56,4,0,0,13,5,0,0,41,8,0,0,151,18,0,0,4,0,3,1,8,0,100,25,10,0,4,0,5,3,733,158
Aggravated Assault,63,9,10,7,27,4,11,1,58,4,0,0,7,1,22,5,2,0,27,0,35,10,17,0,0,0,11,0,44,1,12,0,114,12,30,0,40,4,3,0,46,0,21,3,5,1,19,5,232,46,70,12,7,2,36,1,3,2,118,10,0,0,429,39,2,0,6,0,26,3,46,1,86,17,77,6,29,6,17,4,1808,216
Simple Assault/Intimidation,371,66,97,19,202,12,17,3,527,37,1,0,25,2,165,49,23,2,753,40,104,20,54,0,2,0,114,3,176,8,82,3,846,62,168,9,313,0,20,2,757,56,119,5,44,7,182,15,1360,250,719,25,36,4,174,11,22,5,1243,60,0,0,1350,489,4,0,176,22,322,34,442,17,2888,617,265,32,78,17,162,52,14403,2055
Arson,1,2,0,0,0,0,0,0,6,0,0,0,0,0,1,9,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,1,4,6,0,1,0,0,3,4,0,0,0,1,2,2,6,17,1,0,0,0,0,0,1,0,0,0,0,0,7,10,0,0,1,3,0,0,2,0,9,7,0,0,1,0,0,13,49,79
Extortion/Blackmail,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,8,16
Burglary,20,2,7,3,24,1,5,3,39,3,0,0,3,0,14,12,3,2,11,3,5,17,5,0,0,1,9,4,11,0,3,0,62,21,15,4,26,6,0,0,25,7,5,0,7,8,20,15,123,93,64,3,2,2,16,5,0,2,70,2,0,0,147,26,2,0,11,13,18,10,20,1,113,52,17,9,7,1,4,7,933,338
Larceny,308,58,20,12,147,9,2,0,113,17,0,0,5,1,275,206,33,6,348,26,76,57,30,2,5,1,53,4,124,32,51,21,410,78,67,17,94,9,8,0,368,145,64,14,15,48,121,11,460,216,837,169,63,13,33,3,27,15,340,10,0,0,407,86,43,0,99,38,125,43,152,21,1106,512,137,46,38,16,135,111,6739,2073
Motor Vehicle Theft,12,12,1,0,6,1,1,0,1,3,0,0,1,0,1,0,0,2,3,2,22,6,0,0,2,0,5,2,0,0,3,0,29,17,8,3,1,0,0,0,0,0,9,0,6,8,8,6,53,68,3,0,2,0,5,3,3,2,4,4,0,0,142,89,0,1,15,4,11,4,4,0,45,43,9,7,12,7,0,0,427,294
Counterfeiting/Forgery,28,0,29,1,50,1,2,0,61,0,1,0,0,0,27,3,4,0,16,0,21,0,0,0,0,0,5,0,20,0,21,0,79,2,27,1,6,0,1,0,53,1,7,1,3,0,55,1,65,3,90,0,3,0,10,2,5,0,39,0,2,0,55,3,1,0,62,5,40,1,11,0,102,10,45,0,6,0,23,0,1075,35
