Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,220,122,97,225,259,179,177,196,225,278,277,332,50
Tuesday,241,85,87,244,209,168,159,164,201,274,271,288,27
Wednesday,211,70,85,216,240,173,165,162,203,255,317,294,31
Thursday,208,88,76,192,228,157,173,171,229,276,332,342,45
Friday,247,104,103,199,251,170,208,205,300,305,340,408,52
Saturday,319,164,94,134,243,215,248,205,243,265,321,413,50
Sunday,259,149,101,139,174,182,191,179,203,265,286,291,38
Total,1705,782,643,1349,1604,1244,1321,1282,1604,1918,2144,2368,293
