Location,Total
Air/Bus/Train Terminal,74
Bank/Savings & Loan,6
Bar/Night Club,32
Church/Synagogue/Temple,44
Commercial/Office Building,364
Construction Site,42
Convenience Store,155
Department/Discount Store,73
Drug Store/Dr Office/Hospital,34
Field/Woods,68
Government/Public Building,32
Grocery/Supermarket,50
Highway/Road/Alley,4518
Hotel/Motel/Etc.,181
Jail/Penitentiary,6
Lake/Waterway,4
Liquor Store,2
Parking Lot/Garage,5252
Rental/Storage Facility,96
Residence/Home,5430
Restaurant,107
School/College,98
Service/Gas Station,257
Specialty Store,190
Other/Unknown,1142
Total,18257
