Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday ,294,107,63,70,128,114,161,203,230,265,342,304,59
Tuesday ,254,115,52,61,125,160,165,213,214,228,342,286,46
Wednesday ,276,125,55,54,125,163,207,203,198,232,289,298,55
Thursday ,271,110,55,58,140,131,177,215,216,263,281,286,56
Friday ,332,135,67,58,117,143,204,220,217,288,368,391,63
Saturday ,526,378,131,58,91,99,164,174,192,260,410,465,53
Sunday ,619,412,149,67,103,95,165,193,177,256,343,280,61
Total,2572,1382,572,426,829,905,1243,1421,1444,1792,2375,2310,393
