Time of Offense,Percentage of Robberies
6:00 a.m. - 11:59 a.m.,9.20%
Noon - 5:59 p.m.,18.60%
6:00 p.m. - 11:59 p.m.,48.10%
Midnight - 5:59 a.m.,23.50%
Unknown,0.50%
