Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,115,8.3
One-Man Vehicle,,
Alone,404,29.1
Assisted,524,37.8
Detective or Special Assignment,,
Alone,9,0.6
Assisted,26,1.9
Other Assignments,,
Alone,78,5.6
Assisted,232,16.7
TOTAL,1388,100
