Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD ,147391,4012.45,5914,0,18,10,6,141,96,1145,8,0,253,2460,321,48,350,51,82,1132,605,0,3,3,17,0,39
State Police ,,,23,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0
Bedford PD ,6172,9834.73,607,0,3,3,13,3,6,195,0,0,20,179,9,23,16,3,3,81,101,1,1,0,0,0,16
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bristol PD ,17702,8654.38,1532,2,5,5,24,17,36,371,3,0,104,509,30,56,83,9,8,232,126,1,1,0,5,0,29
State Police ,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0
Buena Vista PD ,6714,1608.57,108,0,0,1,4,0,2,13,0,0,3,39,0,0,3,0,0,25,24,0,0,0,0,0,4
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlottesville PD ,45073,7949.32,3583,2,14,17,34,50,131,936,9,0,164,1257,94,38,171,23,4,772,380,0,4,0,1,1,35
State Police ,,,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,0,1
Chesapeake PD ,228210,6635.11,15142,12,81,37,124,203,594,4640,27,6,1008,5118,271,297,1281,83,43,1795,2261,3,12,3,39,2,256
State Police ,,,59,0,0,0,0,0,1,2,0,0,1,4,14,3,14,0,0,0,20,0,0,0,1,0,3
Colonial Heights PD ,17626,9639.16,1699,0,10,2,19,9,29,194,7,0,57,882,41,47,123,35,3,155,248,0,2,1,1,0,30
State Police ,,,31,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,17,0,0,0,0,0,9
Covington PD ,6420,6074.76,390,1,1,0,10,1,11,126,4,0,26,123,3,2,7,3,0,80,29,0,1,0,0,0,9
State Police ,,,32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,32,0,0,0,0,0,0
Danville PD ,43400,12313.36,5344,3,7,15,42,55,64,1369,15,0,423,1481,44,105,260,13,5,878,952,2,8,0,2,0,167
State Police ,,,58,0,0,0,0,0,0,0,0,0,0,2,1,0,10,0,0,0,45,0,0,0,0,0,3
Emporia PD ,5932,11564.39,686,1,1,3,5,5,24,109,2,0,71,216,14,31,15,10,5,150,90,1,1,0,0,0,22
State Police ,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0
Fairfax PD ,23505,4373.53,1028,0,4,4,12,6,9,255,1,0,22,399,22,9,67,12,3,153,93,0,0,0,1,0,9
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Falls Church PD ,12960,3788.58,491,1,3,1,2,7,3,66,0,0,14,196,3,9,27,2,1,117,74,0,0,0,5,0,5
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Franklin PD ,8839,11041.97,976,2,11,4,8,11,18,306,1,0,40,309,18,20,30,8,3,244,96,0,1,0,1,0,27
State Police ,,,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
