Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
OTHER AGENCIES,,,,
"Alcoholic Bev. Control, Dept.",117,95,22,32
"Capitol Police, Division",66,57,9,13
"Conservation & Rec., Dept.",98,88,10,127
"Game&Inland Fisheries, Dept",169,159,10,11
"Motor Vehicles, Dept.",74,67,7,15
"Virginia State Police, Dept.",1970,1860,110,719
Metro. Wash.Airport Auth.,216,170,46,90
Norfolk Airport Authority,37,32,5,7
Richmond Int'l Airport,20,17,3,7
Southside Va. Trng Center,16,14,2,1
Virginia Port Authority,26,23,3,12
OTHER AGENCY TOTAL,2809,2582,227,1034
