COUNTY TOTAL,9240,8178,1062,2127
OTHER AGENCY TOTAL,2809,2582,227,1034
CITY TOTAL,5917,5109,808,1532
COLLEGE AND UNIVERSITY TOTAL,637,536,101,321
STATE TOTAL,18603,16405,2198,5014
