Location,Number of Offenses
Air/Bus/Train Terminal,616
Bank/Savings & Loan,309
Bar/Night Club,717
Church/Synagogue/Temple,670
Commercial/Office Building,3376
Construction Site,1143
Convenience Store,5074
Department/Discount Store,18467
Drug Store/Dr Office/Hospital,1847
Field/Woods,1205
Government/Public Building,1293
Grocery/Supermarket,4756
Highway/Road/Alley,11039
Hotel/Motel/Etc.,1660
Jail/Penitentiary,33
Lake/Waterway,272
Liquor Store,1256
Parking Lot/Garage,15473
Rental/Storage Facility,514
Residence/Home,49244
Restaurant,2443
School/College,4820
Service/Gas Station,1780
Specialty Store,3873
Other/Unknown,8906
Total,140786
