Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks ,1944,1378,547,1,18
Curfew/Loitering/Vagrancy Violations ,1946,1010,926,10,
Disorderly Conduct ,5112,2250,2814,1,47
Driving Under the Influence ,28895,21710,6618,31,536
Drunkenness ,32057,22918,8827,26,286
"Family Offenses, Nonviolent ",2785,914,1858,1,12
Liquor Law Violations ,11643,8345,3097,15,186
Peeping Tom ,54,34,19,1,
Runaway,3534,1958,1515,61,
Trespass of Real Property ,10236,4613,5546,6,71
Conspiracy to Commit Group A Offense ,135,76,57,,2
All Other Offenses (except most traffic),101783,57526,43282,55,920
Total ,200124,122732,75106,137,2149
