Offenses,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Murder/Nonnegligent Manslaughter  ,260,76,181,,3
Negligent Manslaughter,15,9,3,,3
Kidnaping/Abduction  ,1077,511,554,0,12
Forcible Rape,316,193,120,,3
Forcible Sodomy  ,176,108,65,,3
Sexual Assault with an Object,121,86,35,,
Forcible Fondling,664,429,225,,10
Robbery,1683,487,1192,,4
Aggravated Assault  ,4462,2176,2249,4,33
Simple Assault  ,37690,20390,16903,21,376
Intimidation  ,1314,780,522,,12
Arson,306,198,107,,1
Extortion/Blackmail  ,48,27,21,,
Burglary/Breaking & Entering  ,4430,2473,1935,1,21
Pocket Picking,324,172,147,,5
Purse Snatching,20,14,6,,
Shoplifting  ,15085,8389,6544,13,139
Theft from Building,959,623,328,,8
Theft from Coin-Operated Machine or Device,25,17,8,,
Theft from Motor Vehicle,467,316,150,,1
Theft of Motor Vehicle Parts or Accessories  ,112,66,46,,
All Other Larceny  ,14411,8041,6177,8,185
Motor Vehicle Theft  ,822,433,385,,4
Counterfeiting/Forgery,2221,1375,827,,19
False Pretenses/Swindle/Confidence Game,2980,1809,1124,3,44
Credit Card/Automatic Teller Machine Fraud  ,425,246,175,2,2
Impersonation  ,956,420,528,,8
Welfare Fraud  ,88,51,37,,0
Wire Fraud,3,3,,,
Embezzlement  ,1516,854,638,1,23
Stolen Property Offenses,942,391,548,,3
Destruction/Damage/Vandalism of Property,4431,2634,1768,3,26
Drug/Narcotic Violations,37920,20626,16904,12,378
Drug Equipment Violations  ,429,336,89,,4
Incest,5,5,,,
Statutory Rape,105,75,29,,1
Pornography/Obscene Material ,203,173,29,,1
Betting/Wagering  ,26,5,20,,1
Operating/Promoting/Assisting Gambling  ,14,9,,,5
Gambling Equipment Violation,5,,5,,
Sports Tampering  ,0,,,,
Prostitution,539,286,216,,37
Assisting or Promoting Prostitution,286,158,101,,27
Bribery,10,10,,,
Weapon Law Violations,3562,1760,1774,,28
TOTAL  ,141453,77240,62715,68,1430
