Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement ,0,0,0,0,6,21,27
Stolen Property Offenses ,0,2,30,25,30,45,132
Destruction/Damage/Vandalism ,17,80,231,163,191,188,870
Drug/Narcotic Violations ,5,35,327,437,786,1214,2804
Drug Equipment Violations ,0,1,5,7,7,12,32
Incest ,0,0,0,0,2,0,2
Statutory Rape ,0,0,3,0,0,13,16
Pornography/Obscene Material ,0,2,7,2,11,6,28
Betting/Wagering ,0,0,0,3,1,2,6
Operating/Promoting/Assisting Gambling ,0,0,0,0,0,0,0
Gambling Equipment Violations ,0,0,0,0,0,0,0
Sports Tampering ,0,0,0,0,0,0,0
Prostitution ,0,0,0,0,0,0,0
Assisting or Promoting Prostitution ,0,0,0,0,0,1,1
Bribery ,0,0,0,0,0,0,0
Weapon Law Violations ,2,41,83,54,74,82,336
Total Group A Arrests ,97,1076,3164,2574,3484,4126,14521
Bad Checks,2,0,0,0,0,0,2
Curfew/Loitering/Vagrancy Violations ,0,38,291,313,438,580,1660
Disorderly Conduct,2,71,264,170,228,183,918
Driving Under the Influence ,7,0,4,6,39,89,145
Drunkenness,8,1,20,31,58,96,214
"Family Offenses, Nonviolent ",0,1,4,11,13,16,45
Liquor Law Violations ,0,6,103,251,458,837,1655
Peeping Tom ,0,0,0,0,2,1,3
Runaway,18,131,867,800,922,796,3534
Trespass of Real Property ,10,40,166,200,218,285,919
Conspiracy to Commit Group A Offense ,0,0,1,1,0,2,4
All Other Offenses (except most traffic) ,39,157,902,985,1468,1646,5197
Total Group B Arrests ,86,445,2622,2768,3844,4531,14296
