Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,317,266,51,95
Bedford PD,21,20,1,3
Bristol PD,52,45,7,21
Buena Vista PD,14,14, ,1
Charlottesville PD,112,100,12,29
Chesapeake PD,365,303,62,111
Clifton Forge PD,10,10, ,2
Colonial Heights PD,50,46,4,4
Covington PD,17,15,2,11
Danville PD,124,102,22,9
Emporia PD,26,26, ,8
Fairfax PD,62,56,6,21
Falls Church PD,32,24,8,8
Franklin PD,25,25,,13
Fredericksburg PD,70,53,17,27
Galax PD,24,22,2,14
Hampton PD,277,232,45,100
Harrisonburg PD,85,79,6,14
Hopewell PD,63,56,7,15
Lexington PD,16,14,2,2
Lynchburg PD,179,162,17,27
Manassas PD,95,72,23,27
Manassas Park PD,32,31,1,11
Martinsville PD,52,49,3,5
Newport News PD,418,360,58,136
Norfolk PD,733,662,71,92
Norton PD,17,17,,8
Petersburg PD,110,93,17,39
Poquoson PD,23,21,2,1
Portsmouth PD,252,217,35,89
Radford PD,37,32,5,12
Richmond PD,719,604,115,221
Roanoke PD,256,224,32,45
Salem PD,63,59,4,28
Staunton PD,48,42,6,15
Suffolk PD,184,147,37,57
Virginia Beach PD,783,677,106,172
Waynesboro PD,44,39,5,10
Williamsburg PD,36,31,5,5
Winchester PD,74,62,12,24
CITY TOTAL,5917,5109,808,1532
