Location of Motor Vehicle Theft,Number
Air/Bus/Train Terminal,47
Bank/Savings & Loan,3
Bar/Night Club,12
Church/Synagogue/Temple,17
Commercial/Office Building,136
Construction Site,28
Convenience Store,66
Department/Discount Store,30
Drug Store/Dr Office/Hospital,10
Field/Woods,65
Government/Public Building,27
Grocery/Supermarket,16
Highway/Road/Alley,1737
Hotel/Motel/Etc.,105
Jail/Penitentiary,2
Lake/Waterway,11
Liquor Store,0
Parking Lot/Garage,2329
Rental/Storage Facility,43
Residence/Home,3561
Restaurant,33
School/College,52
Service/Gas Station,82
Specialty Store,78
Other/Unknown,356
Total,8846
