Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,0,0,253,7
Manslaughter,0,0,1,0,1,0,15,0
Kidnaping,2,0,0,0,2,0,1031,46
"Sex Offenses, Forcible",3,0,0,0,3,0,1082,195
Robbery,2,0,0,0,2,0,1421,262
Aggravated Assault,28,0,2,1,30,1,4149,313
Simple Assault/Intimidation,114,1,19,1,133,2,34797,4207
Arson,4,0,0,0,4,0,168,138
Extortion/Blackmail,0,0,0,0,0,0,36,12
Burglary,12,0,1,0,13,0,3642,788
Larceny,170,2,62,3,232,5,27425,3978
Motor Vehicle Theft,3,0,16,0,19,0,674,148
Counterfeiting/Forgery,10,0,126,2,136,2,2180,41
Fraud,35,1,44,1,79,2,4320,132
Embezzlement,4,0,10,0,14,0,1489,27
Stolen Property,6,0,4,0,10,0,810,132
Vandalism,47,0,9,1,56,1,3561,870
Drug/Narcotic Offenses,659,14,268,27,927,41,35513,2836
"Sex Offenses, Nonforcible",0,0,0,0,0,0,92,18
Pornography,0,0,0,0,0,0,175,28
Gambling,0,0,0,0,0,0,39,6
Prostitution,0,0,1,0,1,0,824,1
Bribery,0,0,0,0,0,0,10,0
Weapon Law Violations,42,0,271,14,313,14,3226,336
TOTAL GROUP A,1141,18,834,50,1975,68,126932,14521
Bad Checks,0,0,3,0,3,0,1942,2
Curfew/Loitering/Vagrancy,0,2,3,0,3,2,286,1660
Disorderly Conduct,72,0,10,0,82,0,4194,918
Driving Under Influence,460,2,170,0,630,2,28750,145
Drunkenness,811,1,251,4,1062,5,31843,214
"Family Offenses, Nonforcible",3,0,4,0,7,0,2740,45
Liquor Laws Violations,780,23,1156,57,1936,80,9988,1655
Peeping Tom,3,0,0,0,3,0,51,3
Runaway,0,0,0,0,0,0,0,3534
Trespass of Real Property,171,0,595,34,766,34,9317,919
Conspiracy,0,0,0,0,0,0,131,4
All Other (except Traffic),488,6,5917,145,6405,151,96586,5197
TOTAL GROUP B,2788,34,8109,240,10897,274,185828,14296
GRAND TOTAL,3929,52,8943,290,12872,342,312760,28817
