Date ,Charge ,Street ,Zipcode ,SubDivsion
9/3/2006,DAMAGE PROPERTY ,ABERFELDY WAY ,23693,THE HIGHLANDS
7/27/2006,ANNOYING PHONE CALLS ,ACCOMAC TRNG ,23693,RUNNING MAN
3/19/2006,CREDIT CARD FRAUD ,ACCOMAC TRNG ,23693,RUNNING MAN
11/28/2006,CITIZEN REQUESTED ASSISTANCE ,ADELE COURT ,23693,TABB LAKES
11/4/2006,"DAMAGE PROPERTY, PRIVATE ",ALFRED COURT ,23693,THE GREENLANDS
11/30/2006,CITIZEN REQUESTED ASSISTANCE ,AMELIA COURT ,23693,LILBURNE MEADOW
11/15/2006,ATTEMPTED SUICIDE ,AMERSHAM DRIVE ,23693,YORKSHIRE DOWNS
6/20/2006,"DAMAGE PROPERTY, PRIVATE ",AMERSHAM DRIVE ,23693,YORKSHIRE DOWNS
1/20/2006,CITIZEN REQUESTED ASSISTANCE ,AMERSHAM DRIVE ,23693,YORKSHIRE DOWNS
12/28/2006,CITIZEN REQUESTED ASSISTANCE ,ANDOVER COURT ,23693,SMITHY GLEN
10/13/2006,ANNOYING PHONE CALLS ,ANDOVER COURT ,23693,SMITHY GLEN
7/13/2006,"LARCENY,FROM MOTOR VEHICLE ",ANDOVER COURT ,23693,SMITHY GLEN
5/21/2006,"DAMAGE PROPERTY, PRIVATE ",ANDOVER COURT ,23693,SMITHY GLEN
7/11/2006,"ASSAULT, SIMPLE ",APPALOOSA DRIVE ,23693,YORKSHIRE DOWNS
6/15/2006,RAPE ,APPALOOSA DRIVE ,23693,YORKSHIRE DOWNS
4/11/2006,ATTEMPTED SUICIDE ,APPALOOSA DRIVE ,23693,YORKSHIRE DOWNS
8/29/2006,CREDIT CARD FRAUD ,APPLE LANE ,23693,
11/22/2006,"BURGLARY, RESIDENTIAL ",AQUIA TURN ,23693,RUNNING MAN
8/22/2006,IDENTITY FRAUD ,ARABIAN CIRCLE ,23693,YORKSHIRE DOWNS
6/11/2006,"LARCENY,FROM MOTOR VEHICLE ",ARABIAN CIRCLE ,23693,YORKSHIRE DOWNS
5/9/2006,GRAND LARCENY ,ARABIAN CIRCLE ,23693,YORKSHIRE DOWNS
4/20/2006,CITIZEN REQUESTED ASSISTANCE ,ARABIAN CIRCLE ,23693,YORKSHIRE DOWNS
12/16/2006,"DAMAGE PROPERTY, PRIVATE ",AUTUMN WAY ,23693,EDGEWOOD
11/27/2006,CREDIT CARD FRAUD ,AUTUMN WAY ,23693,EDGEWOOD
8/18/2006,DISCHARGE FIREARM OR MISSILE IN/AT OCCUPIED BLDG ,AUTUMN WAY ,23693,EDGEWOOD
8/2/2006,"DAMAGE PROPERTY, PRIVATE ",AUTUMN WAY ,23693,EDGEWOOD
8/2/2006,"BURGLARY, RESIDENTIAL ",AUTUMN WAY ,23693,EDGEWOOD
3/26/2006,CITIZEN REQUESTED ASSISTANCE ,AUTUMN WAY ,23693,EDGEWOOD
6/18/2006,"LARCENY,FROM MOTOR VEHICLE ",BARCLAY ROAD ,23693,BARCLAY ACRES
12/27/2006,GRAND LARCENY ,BARRINGTON LANE ,23693,AVERY WOODS
9/11/2006,"ASSAULT, SIMPLE, DOMESTIC ",BARRINGTON LANE ,23693,AVERY WOODS
4/19/2006,"LARCENY,FROM MOTOR VEHICLE ",BARRINGTON LANE ,23693,AVERY WOODS
1/29/2006,"LARCENY,FROM MOTOR VEHICLE ",BARRINGTON LANE ,23693,AVERY WOODS
10/23/2006,"DAMAGE PROPERTY, BUSINESS ",BAYBERRY LANE ,23693,CHURCHILL ESTATES
10/23/2006,PETIT LARCENY ,BAYBERRY LANE ,23693,CHURCHILL ESTATES
10/30/2006,"DAMAGE PROPERTY, PRIVATE ",BAYBERRY LANE ,23693,CHURCHILL ESTATES
6/18/2006,CITIZEN REQUESTED ASSISTANCE ,BAYBERRY LANE ,23693,CHURCHILL ESTATES
9/4/2006,"ASSAULT, SIMPLE ",BEECHWOOD LANE ,23693,SHADY BANKS
9/28/2006,"DAMAGE PROPERTY, PRIVATE ",BEECHWOOD LANE ,23693,SHADY BANKS
8/28/2006,"ASSAULT, SIMPLE ",BEECHWOOD LANE ,23693,SHADY BANKS
5/15/2006,"ASSAULT, SIMPLE ",BEECHWOOD LANE ,23693,SHADY BANKS
12/1/2006,CITIZEN REQUESTED ASSISTANCE ,BELMONT CIRCLE ,23693,FINCH TERRACE
12/5/2006,THREATEN BODILY HARM ,BELMONT CIRCLE ,23693,FINCH TERRACE
11/27/2006,"DAMAGE PROPERTY, PRIVATE ",BELMONT CIRCLE ,23693,FINCH TERRACE
10/4/2006,"FRAUD-TRICK,FALSE PRETENSES ",BELMONT CIRCLE ,23693,FINCH TERRACE
10/4/2006,"FRAUD, ALL OTHERS ",BELMONT CIRCLE ,23693,FINCH TERRACE
7/26/2006,TRESPASSING ,BELMONT CIRCLE ,23693,FINCH TERRACE
7/26/2006,"DAMAGE PROPERTY, PRIVATE ",BELMONT CIRCLE ,23693,FINCH TERRACE
6/22/2006,DAMAGE PROPERTY ,BELMONT CIRCLE ,23693,FINCH TERRACE
5/1/2006,CITIZEN REQUESTED ASSISTANCE ,BELMONT CIRCLE ,23693,FINCH TERRACE
4/16/2006,"DAMAGE PROPERTY, PRIVATE ",BELMONT CIRCLE ,23693,FINCH TERRACE
12/16/2006,"DAMAGE PROPERTY, PRIVATE ",BETHANY TERRACE ,23693,THOMAS ESTATES
11/25/2006,ATTEMPTED SUICIDE ,BETHANY TERRACE ,23693,THOMAS ESTATES
1/14/2006,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,23693,
6/26/2006,ABUSE AND NEGLECT OF CHILDREN ,BIG BETHEL ROAD ,23693,
8/26/2006,ALL OTHER REPORTABLE OFFENSES ,BIG BETHEL ROAD ,23693,
12/7/2006,DRUNK IN PUBLIC ,BIG BETHEL ROAD ,23693,
11/7/2006,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,23693,
9/9/2006,"COUNTERFEITING/FORGERY, ALL OTHERS ",BIG BETHEL ROAD ,23693,
8/20/2006,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,23693,
7/19/2006,ASSAULT & BATTERY -POLICE OFCR OR FIREFIGHTER ,BIG BETHEL ROAD ,23693,
7/19/2006,CREDIT CARD FRAUD ,BIG BETHEL ROAD ,23693,
5/8/2006,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,23693,
2/15/2006,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",BIG BETHEL ROAD ,23693,
12/20/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
11/1/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
10/16/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
10/18/2006,THREATEN BODILY HARM ,BIG BETHEL ROAD ,23693,
11/1/2006,POSSESS WEAPON ON SCHOOL PROPERTY ,BIG BETHEL ROAD ,23693,
10/31/2006,DRIVING W/SUSPENDED OR REVOKED LICENSE ,BIG BETHEL ROAD ,23693,
10/31/2006,"SALE, DISTRIBUTE MARIJUANA <=1/2 OZ ",BIG BETHEL ROAD ,23693,
10/20/2006,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,23693,
10/13/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
10/13/2006,GRAND LARCENY ,BIG BETHEL ROAD ,23693,
10/5/2006,THREATS OF DEATH OR BODILY INJURY BY LETTER ,BIG BETHEL ROAD ,23693,
10/2/2006,POSSESSION OF CONTROLLED SUBSTANCES ,BIG BETHEL ROAD ,23693,
8/1/2006,DISORDERLY CONDUCT ,BIG BETHEL ROAD ,23693,
8/1/2006,CURSING/OBSCENE LANGUAGE ,BIG BETHEL ROAD ,23693,
9/14/2006,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,23693,
7/28/2006,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,23693,
7/10/2006,GRAND LARCENY ,BIG BETHEL ROAD ,23693,
6/14/2006,POSSESSION OF MARIJUANA ,BIG BETHEL ROAD ,23693,
5/24/2006,BOMB THREATS ,BIG BETHEL ROAD ,23693,
5/17/2006,GRAND LARCENY ,BIG BETHEL ROAD ,23693,
4/13/2006,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,23693,
3/28/2006,CARRYING CONCEALED WEAPON -1ST OFFENSE ,BIG BETHEL ROAD ,23693,
3/24/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
3/23/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
2/21/2006,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,23693,
2/17/2006,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,23693,
2/17/2006,"DAMAGE PROPERTY, PRIVATE ",BIG BETHEL ROAD ,23693,
2/17/2006,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,23693,
2/1/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
2/11/2006,GRAND LARCENY ,BIG BETHEL ROAD ,23693,
1/20/2006,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,23693,
2/1/2006,GRAND LARCENY ,BIG BETHEL ROAD ,23693,
1/24/2006,GRAND LARCENY ,BIG BETHEL ROAD ,23693,
10/8/2006,"BURGLARY, RESIDENTIAL ",BIG BETHEL ROAD ,23693,
5/10/2006,AGGRESIVE DRIVING ,BIG BETHEL ROAD ,23693,
8/9/2006,RUNAWAY JUVENILE ,BIG BETHEL ROAD ,23693,
5/31/2006,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,23693,
11/10/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
11/9/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
9/15/2006,POSSESSION OF MARIJUANA ,BIG BETHEL ROAD ,23693,
7/6/2006,CITIZEN REQUESTED ASSISTANCE ,BIG BETHEL ROAD ,23693,
8/26/2006,DEATH INVESTIGATION ,BIG BETHEL ROAD ,23693,
5/22/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
1/12/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
1/14/2006,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,23693,
1/18/2006,PETIT LARCENY ,BIG BETHEL ROAD ,23693,
9/23/2006,"ASSAULT, SIMPLE ",BIG BETHEL ROAD ,23693,
10/21/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BIG BETHEL ROAD ,23693,
12/28/2006,"DAMAGE PROPERTY, PRIVATE ",BIRKDALE COURT ,23693,ROYAL COLVEN
12/28/2006,"DAMAGE PROPERTY, PRIVATE ",BIRKDALE COURT ,23693,ROYAL COLVEN
11/6/2006,MOTOR VEHICLE THEFT ,BIRKDALE COURT ,23693,ROYAL COLVEN
6/3/2006,CITIZEN REQUESTED ASSISTANCE ,BLACKBERRY BEND ,23693,JUSTINIAN GROVE
5/8/2006,CITIZEN REQUESTED ASSISTANCE ,BLACKBERRY BEND ,23693,JUSTINIAN GROVE
11/19/2006,CITIZEN REQUESTED ASSISTANCE ,BLACKSMITH ARCH ,23693,DAVIS FORGE
11/12/2006,"DAMAGE PROPERTY, PRIVATE ",BLACKSMITH ARCH ,23693,DAVIS FORGE
8/16/2006,"LARCENY,FROM MOTOR VEHICLE ",BLACKSMITH ARCH ,23693,DAVIS FORGE
4/11/2006,"SALE, DISTRIBUTE MARIJUANA ",BLACKSMITH ARCH ,23693,DAVIS FORGE
12/8/2006,"ASSAULT, SIMPLE, DOMESTIC ",BLACKWOOD COURT ,23693,WHISPERING WINDS
9/6/2006,"ASSAULT, SIMPLE, DOMESTIC ",BLACKWOOD COURT ,23693,WHISPERING WINDS
7/23/2006,CITIZEN REQUESTED ASSISTANCE ,BLACKWOOD COURT ,23693,WHISPERING WINDS
6/19/2006,ABUSE AND NEGLECT OF CHILDREN ,BLACKWOOD COURT ,23693,WHISPERING WINDS
12/2/2006,CITIZEN REQUESTED ASSISTANCE ,BLEVINS RUN ,23693,THE GREENLANDS
10/27/2006,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,BLEVINS RUN ,23693,THE GREENLANDS
8/4/2006,BAD CHECKS ,BLEVINS RUN ,23693,THE GREENLANDS
7/7/2006,"DAMAGE PROPERTY, PRIVATE ",BLEVINS RUN ,23693,THE GREENLANDS
6/22/2006,CITIZEN REQUESTED ASSISTANCE ,BLEVINS RUN ,23693,THE GREENLANDS
12/28/2006,"DAMAGE PROPERTY, PRIVATE ",BRASSIE DRIVE ,23693,THE SANCTUARY
3/11/2006,"DAMAGE PROPERTY, PRIVATE ",BRASSIE DRIVE ,23693,THE SANCTUARY
9/30/2006,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
8/21/2006,PETIT LARCENY ,BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
12/1/2006,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
12/4/2006,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
12/8/2006,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
12/8/2006,"BURGLARY, RESIDENTIAL ",BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
12/1/2006,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
11/9/2006,"BURGLARY, RESIDENTIAL ",BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
11/4/2006,CONSPIRACY TO COMMIT FELONY ,BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
11/4/2006,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
11/4/2006,"BURGLARY, RESIDENTIAL ",BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
6/28/2006,GRAND LARCENY ,BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
8/21/2006,PETIT LARCENY ,BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
6/19/2006,"DAMAGE PROPERTY, PRIVATE ",BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
6/5/2006,CREDIT CARD FRAUD ,BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
3/15/2006,ANNOYING PHONE CALLS ,BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
2/4/2006,CITIZEN REQUESTED ASSISTANCE ,BRENTMEADE DRIVE ,23693,WYTHE CREEK FARMS
6/10/2006,CITIZEN REQUESTED ASSISTANCE ,BRIAN WESLEY COURT ,23693,THE GREENLANDS
6/1/2006,"LARCENY,FROM MOTOR VEHICLE ",BRIAN WESLEY COURT ,23693,THE GREENLANDS
1/8/2006,ROBBERY ,BRIDGEWOOD DRIVE ,23693,TABB LAKES
1/8/2006,ABDUCTION & KIDNAPPING ,BRIDGEWOOD DRIVE ,23693,TABB LAKES
9/9/2006,"DAMAGE PROPERTY, PRIVATE ",BRIDGEWOOD DRIVE ,23693,TABB LAKES
7/2/2006,CITIZEN REQUESTED ASSISTANCE ,BRIDGEWOOD DRIVE ,23693,TABB LAKES
8/21/2006,PETIT LARCENY ,BRIDGEWOOD DRIVE ,23693,TABB LAKES
6/24/2006,DAMAGE PROPERTY ,BRIDGEWOOD DRIVE ,23693,TABB LAKES
8/17/2006,"DAMAGE PROPERTY, PRIVATE ",BROOK RUN ,23693,YORKSHIRE
7/8/2006,"ASSAULT, SIMPLE ",BUFFIE ROAD ,23693,KINGS VILLA
7/19/2006,CITIZEN REQUESTED ASSISTANCE ,BUFFIE ROAD ,23693,KINGS VILLA
4/13/2006,FAILURE TO PERFORM CONSTRUCTION AFTER ADVANCE ,BUGLE COURT ,23693,FOXWOOD
8/13/2006,CITIZEN REQUESTED ASSISTANCE ,BUGLE COURT ,23693,FOXWOOD
6/15/2006,"DAMAGE PROPERTY, PRIVATE ",BUNTING POINT ROAD ,23693,BUNTING POINT ESTATES
10/2/2006,"LARCENY,FROM MOTOR VEHICLE ",BUTTONWOOD LANE ,23693,GABLES OF YORK
6/21/2006,"LARCENY,FROM MOTOR VEHICLE ",BUTTONWOOD LANE ,23693,GABLES OF YORK
2/6/2006,CITIZEN REQUESTED ASSISTANCE ,BUTTONWOOD LANE ,23693,GABLES OF YORK
3/2/2006,"DAMAGE PROPERTY, PRIVATE ",BYRD LANE ,23693,
6/27/2006,DEATH INVESTIGATION ,BYRD LANE ,23693,
10/7/2006,CITIZEN REQUESTED ASSISTANCE ,CALTHROPE NECK ROAD ,23693,
6/15/2006,"DAMAGE PROPERTY, PRIVATE ",CALTHROPE NECK ROAD ,23693,
1/20/2006,"ASSAULT, SIMPLE, DOMESTIC ",CALTHROPE NECK ROAD ,23693,
1/12/2006,"ASSAULT, SIMPLE, DOMESTIC ",CALTHROPE NECK ROAD ,23693,
