Traffic Violations,ADULT 2011,Adult 2012,Adult +/-,Juvenile 2011,Juvenile 2012,Juvenile +/-,Combined 2011,Combined 2012,Combined +/-
No Operators License,"1,806","1,562",-244,*,*,*,"1,806","1,562",-244
Reckless Driving,"2,890","2,634",-256,*,*,*,"2,890","2,634",-256
Hit and Run,550,487,-63,*,*,*,550,487,-63
Revoked/Suspended O.L.,"2,227","1,955",-272,*,*,*,"2,227","1,955",-272
