PART I CRIMES,Total Arrests,Illegal Alien Arrests,% Illegal Aliens
Murder,3,1,33.30%
Forcible Rape,44,6,13.60%
Aggravated Assault,178,6,3.40%
Robbery,112,2,1.80%
Burglary,200,5,2.50%
Larceny,"1,237",49,4.00%
Motor Vehicle Theft,29,1,3.40%
TOTAL,"1,803",70,3.90%
