Arrest Totals (All Crime Offenses),2011,% of 2011 Total,2012,% of 2012 Total
Adult Only,"12,819",89.70%,"13,029",90.70%
Juvenile Only,"1,467",10.30%,"1,340",9.30%
ADULT & JUVENILE COMBINED,"14,289",100%,"14,369",100%
