Name: “Table 1 of 1 on page 41 of 95”,Name: “Table 1 of 1 on page 41 of 95”
Table: 34,Table: 34
,
While not all of the risk assessment instruments cur-,While not all of the risk assessment instruments cur-
rently utilized to evaluate sex offenders and their risk,rently utilized to evaluate sex offenders and their risk
"of future dangerousness are presented here, the instru-","of future dangerousness are presented here, the instru-"
ments included in this report nonetheless are examples,ments included in this report nonetheless are examples
of those being used in the field today.,The Commission
reviewed these and other instruments as a background,reviewed these and other instruments as a background
for its own research on recidivism among convicted sex,for its own research on recidivism among convicted sex
offenders in Virginia.,
40,
assessing risk among sex offenders in virginia,assessing risk among sex offenders in virginia
