Reason for Pursuit,2006,2007,2008
Traffic Violation,80%,61%,70%
Felony Suspect,10%,21%,15%
Pursuit of other Jurisdiction,10%,7%,5%
Misdemeanor,0%,11%,10%
Pursuit Resulting in Arrests,,,
Yes,61%,68%,55%
No,39%,32%,45%
Pursuit Resulting in Crash,,,
Yes,29%,25%,10%
No,71%,75%,90%
Pursuit Terminated by:,,,
Suspect,49%,57%,75%
Officer,6%,11%,10%
Supervisor,16%,18%,15%
Crash,29%,14%,0%
Distance of Pursuits,,,
0 - 2 Miles,64%,80%,65%
2 - 4 miles,16%,14%,15%
4 - 6 miles,10%,3%,10%
> 6 miles,10%,3%,10%
Suspect Injury,,, 
Yes,16%,14%,5%
No,84%,86%,95%
Pursuit Speed,,, 
0-45,45%,36%,25%
50-75,39%,39%,45%
75+,16%,25%,30%
