Rank,Call Nature,Number of Calls
1,911 Hang-Up,"5,749"
2,"Alarm, B and E","5,665"
3,See Complaintant,"5,107"
4,Disturbance,"3,710"
5,Animal Control Call,"3,276"
6,Auto Accident,"2,589"
7,Suspicious Person,"2,496"
8,Reckless Driver,"2,155"
9,Report Only,"1,915"
10,Check Building,"1,667"
