Disposition,,,,,,,,,
Species,Reclaimed by Owner,Adopted,Transferred to Another Virginia Releasing Agency,Transferred by Approved Out of State Facility,Died in Facility,Euthanized,Misc,On Hand 12-31-2007,Total
Cats,11,340,16,,105,907,3,40,1422
Dogs,,,,,,,,,0
Equine,,,,,,,,,0
Hybrid Canines,,,,,,,,,0
Livestock,,,,,,,,,
Other Companioin Animals,,11,7,,2,1,,2,21
Poultry,,,,,,,,,0
Total,251,831,96,2,130,1503,3,70,2886
