Arrests by Offense,Norfolk,
,Adult,Juvenile
Murder,14,1
Manslaughter,1,0
Kidnaping,56,9
"Sex Offenses, Forcible",48,11
Robbery,96,50
Aggravated Assault,127,13
Simple Assault/Intimidation,1546,40
Arson,5,3
Extortion/Blackmail,0,0
Burglary,101,65
Larceny,878,110
Motor Vehicle Theft,0,1
Counterfeiting/Forgery,41,0
Fraud,52,24
Embezzlement,18,0
Stolen Property,40,10
Vandalism,43,12
Drug/Narcotic Offenses,440,15
"Sex Offenses, Nonforcible",2,0
Pornography,1,0
Gambling,0,0
Prostitution,33,0
Bribery,0,0
Weapon Law Violations,85,9
TOTAL GROUP A,3627,373
Bad Checks,32,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,699,61
Driving Under Influence,615,1
Drunkenness,2359,6
"Family Offenses, Nonforcible",398,1
Liquor Laws Violations,766,30
Peeping Tom,3,0
Runaway,0,96
Trespass of Real Property,1203,94
Conspiracy,0,0
All Other (except Traffic),6991,2777
TOTAL GROUP B,13066,3066
GRAND TOTAL,16693,3439
