Arrests by Offense,Other Agency,
,Adult,Juvenile
Murder,0,0
Manslaughter,1,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,0
Robbery,0,0
Aggravated Assault,3,0
Simple Assault/Intimidation,20,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,0,0
Larceny,75,2
Motor Vehicle Theft,13,0
Counterfeiting/Forgery,135,4
Fraud,97,1
Embezzlement,13,0
Stolen Property,6,0
Vandalism,8,2
Drug/Narcotic Offenses,308,26
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,287,15
TOTAL GROUP A,967,51
Bad Checks,8,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,17,0
Driving Under Influence,205,2
Drunkenness,240,1
"Family Offenses, Nonforcible",17,0
Liquor Laws Violations,1846,81
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,791,21
Conspiracy,2,0
All Other (except Traffic),9719,148
TOTAL GROUP B,12845,253
GRAND TOTAL,13812,304
