Arrests by Offense,Total County,
,Adult,Juvenile
Murder,109,9
Manslaughter,6,0
Kidnaping,511,20
"Sex Offenses, Forcible",671,169
Robbery,660,176
Aggravated Assault,2106,304
Simple Assault/Intimidation,18952,3332
Arson,90,66
Extortion/Blackmail,24,7
Burglary,1997,442
Larceny,13959,2855
Motor Vehicle Theft,505,99
Counterfeiting/Forgery,1311,27
Fraud,2362,94
Embezzlement,1013,12
Stolen Property,394,103
Vandalism,2001,700
Drug/Narcotic Offenses,17588,1721
"Sex Offenses, Nonforcible",102,16
Pornography,78,34
Gambling,47,0
Prostitution,269,3
Bribery,5,1
Weapon Law Violations,1630,230
TOTAL GROUP A,66390,10420
Bad Checks,1921,5
Curfew/Loitering/Vagrancy,19,1083
Disorderly Conduct,1813,718
Driving Under Influence,18646,123
Drunkenness,15455,173
"Family Offenses, Nonforcible",739,36
Liquor Laws Violations,3971,1360
Peeping Tom,31,3
Runaway,0,2457
Trespass of Real Property,3089,487
Conspiracy,63,3
All Other (except Traffic),45335,2778
TOTAL GROUP B,91082,9226
GRAND TOTAL,157472,19646
