Arrests by Offense,Lancaster,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,1
Robbery,0,0
Aggravated Assault,0,0
Simple Assault/Intimidation,14,1
Arson,0,0
Extortion/Blackmail,0,0
Burglary,0,0
Larceny,5,0
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,0,0
Fraud,8,0
Embezzlement,1,0
Stolen Property,2,0
Vandalism,2,0
Drug/Narcotic Offenses,8,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,0
TOTAL GROUP A,47,2
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,0
Driving Under Influence,14,0
Drunkenness,32,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,4,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,1,0
Conspiracy,0,0
All Other (except Traffic),31,1
TOTAL GROUP B,83,1
GRAND TOTAL,130,3
