Arrests by Offense,Alleghany ,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",3,0
Robbery,0,0
Aggravated Assault,5,0
Simple Assault/Intimidation,57,4
Arson,0,0
Extortion/Blackmail,0,0
Burglary,7,3
Larceny,30,10
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,3,0
Fraud,1,0
Embezzlement,1,0
Stolen Property,6,9
Vandalism,5,4
Drug/Narcotic Offenses,109,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,1
TOTAL GROUP A,232,35
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,6
Disorderly Conduct,5,0
Driving Under Influence,91,3
Drunkenness,89,2
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,27,7
Peeping Tom,2,0
Runaway,0,0
Trespass of Real Property,5,2
Conspiracy,2,0
All Other (except Traffic),77,13
TOTAL GROUP B,298,33
GRAND TOTAL,530,68
