Arrests by Offense,Staunton,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",7,1
Robbery,0,0
Aggravated Assault,11,0
Simple Assault/Intimidation,227,13
Arson,1,0
Extortion/Blackmail,1,0
Burglary,13,3
Larceny,155,16
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,8,0
Fraud,21,2
Embezzlement,4,0
Stolen Property,11,0
Vandalism,26,2
Drug/Narcotic Offenses,131,24
"Sex Offenses, Nonforcible",0,0
Pornography,6,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,0
TOTAL GROUP A,642,61
Bad Checks,8,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,21,9
Driving Under Influence,115,1
Drunkenness,242,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,43,36
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,29,2
Conspiracy,0,0
All Other (except Traffic),849,34
TOTAL GROUP B,1307,83
GRAND TOTAL,1949,144
