Arrests by Offense,Wise,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,8,0
"Sex Offenses, Forcible",8,0
Robbery,1,0
Aggravated Assault,20,0
Simple Assault/Intimidation,309,1
Arson,5,0
Extortion/Blackmail,0,0
Burglary,35,1
Larceny,223,1
Motor Vehicle Theft,5,0
Counterfeiting/Forgery,16,0
Fraud,9,0
Embezzlement,90,0
Stolen Property,2,0
Vandalism,39,1
Drug/Narcotic Offenses,107,1
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,24,0
TOTAL GROUP A,903,5
Bad Checks,97,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,11,0
Driving Under Influence,223,1
Drunkenness,215,0
"Family Offenses, Nonforcible",13,0
Liquor Laws Violations,18,1
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,49,1
Conspiracy,2,0
All Other (except Traffic),943,72
TOTAL GROUP B,1571,75
GRAND TOTAL,2474,80
