Arrests by Offense,Colonial Heights,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,4,0
"Sex Offenses, Forcible",4,2
Robbery,14,0
Aggravated Assault,12,2
Simple Assault/Intimidation,141,80
Arson,1,2
Extortion/Blackmail,0,0
Burglary,19,6
Larceny,462,158
Motor Vehicle Theft,5,7
Counterfeiting/Forgery,20,0
Fraud,26,2
Embezzlement,44,0
Stolen Property,8,3
Vandalism,19,15
Drug/Narcotic Offenses,256,26
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,25,0
TOTAL GROUP A,1061,303
Bad Checks,12,0
Curfew/Loitering/Vagrancy,0,32
Disorderly Conduct,21,20
Driving Under Influence,279,0
Drunkenness,108,1
"Family Offenses, Nonforcible",22,0
Liquor Laws Violations,61,14
Peeping Tom,0,0
Runaway,0,32
Trespass of Real Property,41,30
Conspiracy,1,0
All Other (except Traffic),1028,51
TOTAL GROUP B,1573,180
GRAND TOTAL,2634,483
