Arrests by Offense,Martinsville,
,Adult,Juvenile
Murder,2,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",2,1
Robbery,11,2
Aggravated Assault,12,0
Simple Assault/Intimidation,208,19
Arson,0,0
Extortion/Blackmail,0,0
Burglary,13,3
Larceny,84,10
Motor Vehicle Theft,5,0
Counterfeiting/Forgery,13,0
Fraud,15,0
Embezzlement,3,0
Stolen Property,1,0
Vandalism,34,4
Drug/Narcotic Offenses,57,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,10,0
TOTAL GROUP A,470,42
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,58,2
Driving Under Influence,51,0
Drunkenness,114,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,21,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,15,1
Conspiracy,0,0
All Other (except Traffic),558,30
TOTAL GROUP B,820,36
GRAND TOTAL,1290,78
