Arrests by Offense,Henrico,
,Adult,Juvenile
Murder,6,0
Manslaughter,3,0
Kidnaping,11,3
"Sex Offenses, Forcible",13,1
Robbery,81,30
Aggravated Assault,162,43
Simple Assault/Intimidation,1042,365
Arson,2,23
Extortion/Blackmail,0,0
Burglary,153,57
Larceny,1427,508
Motor Vehicle Theft,7,4
Counterfeiting/Forgery,44,0
Fraud,139,3
Embezzlement,63,0
Stolen Property,17,3
Vandalism,119,66
Drug/Narcotic Offenses,864,123
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,88,1
Bribery,0,0
Weapon Law Violations,160,19
TOTAL GROUP A,4402,1249
Bad Checks,27,0
Curfew/Loitering/Vagrancy,0,24
Disorderly Conduct,37,100
Driving Under Influence,1045,6
Drunkenness,807,14
"Family Offenses, Nonforcible",14,0
Liquor Laws Violations,153,71
Peeping Tom,2,0
Runaway,0,493
Trespass of Real Property,316,75
Conspiracy,16,0
All Other (except Traffic),3456,175
TOTAL GROUP B,5873,958
GRAND TOTAL,10275,2207
