Arrests by Offense,Fairfax,
,Adult,Juvenile
Murder,9,4
Manslaughter,0,0
Kidnaping,119,2
"Sex Offenses, Forcible",66,26
Robbery,124,27
Aggravated Assault,224,51
Simple Assault/Intimidation,2326,220
Arson,6,2
Extortion/Blackmail,2,0
Burglary,171,23
Larceny,2161,458
Motor Vehicle Theft,78,25
Counterfeiting/Forgery,210,4
Fraud,324,9
Embezzlement,182,0
Stolen Property,43,22
Vandalism,240,75
Drug/Narcotic Offenses,2744,322
"Sex Offenses, Nonforcible",15,4
Pornography,17,2
Gambling,35,0
Prostitution,54,1
Bribery,0,0
Weapon Law Violations,92,32
TOTAL GROUP A,9242,1309
Bad Checks,55,0
Curfew/Loitering/Vagrancy,1,2
Disorderly Conduct,195,63
Driving Under Influence,3062,21
Drunkenness,3735,37
"Family Offenses, Nonforcible",50,5
Liquor Laws Violations,1064,288
Peeping Tom,7,2
Runaway,0,3
Trespass of Real Property,567,142
Conspiracy,0,0
All Other (except Traffic),4258,324
TOTAL GROUP B,12994,887
GRAND TOTAL,22236,2196
