Arrests by Offense,Washington,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",12,0
Robbery,6,0
Aggravated Assault,25,0
Simple Assault/Intimidation,250,19
Arson,0,0
Extortion/Blackmail,1,0
Burglary,19,1
Larceny,381,9
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,26,0
Fraud,133,0
Embezzlement,29,2
Stolen Property,1,0
Vandalism,22,0
Drug/Narcotic Offenses,198,4
"Sex Offenses, Nonforcible",1,0
Pornography,6,1
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,17,3
TOTAL GROUP A,1134,39
Bad Checks,55,0
Curfew/Loitering/Vagrancy,1,1
Disorderly Conduct,9,2
Driving Under Influence,147,1
Drunkenness,207,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,25,17
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,22,0
Conspiracy,4,0
All Other (except Traffic),487,62
TOTAL GROUP B,961,83
GRAND TOTAL,2095,122
