Arrests by Offense,Campbell ,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,13,0
"Sex Offenses, Forcible",11,5
Robbery,6,3
Aggravated Assault,13,2
Simple Assault/Intimidation,330,5
Arson,1,0
Extortion/Blackmail,0,0
Burglary,39,3
Larceny,105,7
Motor Vehicle Theft,4,2
Counterfeiting/Forgery,13,0
Fraud,14,1
Embezzlement,7,0
Stolen Property,0,0
Vandalism,19,1
Drug/Narcotic Offenses,86,0
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,24,0
TOTAL GROUP A,687,29
Bad Checks,32,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,11,0
Driving Under Influence,196,0
Drunkenness,95,0
"Family Offenses, Nonforcible",6,2
Liquor Laws Violations,15,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,32,0
Conspiracy,0,0
All Other (except Traffic),491,5
TOTAL GROUP B,878,9
GRAND TOTAL,1565,38
