Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,6,2
Manslaughter,0,0
Kidnaping,34,5
"Sex Offenses, Forcible",46,22
Robbery,96,51
Aggravated Assault,126,51
Simple Assault/Intimidation,1528,1236
Arson,5,12
Extortion/Blackmail,2,0
Burglary,188,124
Larceny,1137,662
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,189,8
Fraud,211,21
Embezzlement,90,2
Stolen Property,20,11
Vandalism,134,208
Drug/Narcotic Offenses,1369,280
"Sex Offenses, Nonforcible",13,3
Pornography,7,3
Gambling,0,0
Prostitution,46,0
Bribery,0,0
Weapon Law Violations,215,72
TOTAL GROUP A,5464,2773
Bad Checks,53,0
Curfew/Loitering/Vagrancy,3,605
Disorderly Conduct,721,195
Driving Under Influence,1109,5
Drunkenness,12,9
"Family Offenses, Nonforcible",36,2
Liquor Laws Violations,410,168
Peeping Tom,2,0
Runaway,0,584
Trespass of Real Property,262,123
Conspiracy,1,0
All Other (except Traffic),2886,492
TOTAL GROUP B,5495,2183
GRAND TOTAL,10959,4956
