Arrests by Offense,Virginia Beach,
,Adult,Juvenile
Murder,11,1
Manslaughter,2,0
Kidnaping,47,4
"Sex Offenses, Forcible",63,18
Robbery,95,23
Aggravated Assault,111,18
Simple Assault/Intimidation,2971,535
Arson,8,11
Extortion/Blackmail,6,10
Burglary,232,92
Larceny,1347,543
Motor Vehicle Theft,40,18
Counterfeiting/Forgery,95,4
Fraud,282,9
Embezzlement,78,1
Stolen Property,48,14
Vandalism,209,73
Drug/Narcotic Offenses,1326,200
"Sex Offenses, Nonforcible",8,3
Pornography,9,2
Gambling,0,0
Prostitution,28,0
Bribery,2,0
Weapon Law Violations,180,34
TOTAL GROUP A,7198,1613
Bad Checks,28,0
Curfew/Loitering/Vagrancy,148,563
Disorderly Conduct,612,47
Driving Under Influence,2444,9
Drunkenness,4000,15
"Family Offenses, Nonforcible",30,0
Liquor Laws Violations,969,254
Peeping Tom,3,0
Runaway,0,1
Trespass of Real Property,474,111
Conspiracy,0,0
All Other (except Traffic),7616,199
TOTAL GROUP B,16324,1199
GRAND TOTAL,23522,2812
