Arrests by Offense,Wythe,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",5,1
Robbery,0,0
Aggravated Assault,18,1
Simple Assault/Intimidation,57,8
Arson,0,0
Extortion/Blackmail,0,0
Burglary,16,1
Larceny,99,4
Motor Vehicle Theft,4,1
Counterfeiting/Forgery,5,0
Fraud,17,0
Embezzlement,3,0
Stolen Property,2,0
Vandalism,21,0
Drug/Narcotic Offenses,177,4
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,16,0
TOTAL GROUP A,443,20
Bad Checks,6,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,10,1
Driving Under Influence,133,0
Drunkenness,213,0
"Family Offenses, Nonforcible",5,3
Liquor Laws Violations,34,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,25,2
Conspiracy,0,0
All Other (except Traffic),355,0
TOTAL GROUP B,781,6
GRAND TOTAL,1224,26
