COUNTY POLICE & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Albemarle County PD ,98970,3779.93,3741,2,9,27,36,22,76,920,11,2,276,1456,79,32,286,43,17,766,426,6,20,0,2,0,58
State Police ,,,37,0,0,0,0,0,1,1,0,0,0,1,0,1,9,0,0,1,24,0,0,0,0,0,1
Arlington County PD ,207627,4037.04,8382,1,35,25,102,144,161,897,3,4,307,4087,211,172,1026,83,92,1218,597,2,10,4,5,2,52
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County PD ,316236,5408.93,17105,10,47,60,191,218,196,6380,59,6,1537,5400,323,260,1301,104,42,3659,1451,9,25,0,54,1,441
State Police ,,,263,0,0,0,1,0,15,4,0,0,1,16,11,19,29,0,2,3,208,0,1,0,0,0,10
Fairfax County PD ,1042747,3380.01,35245,22,175,121,261,380,435,7132,44,12,1202,13743,949,363,2371,286,73,8426,3786,11,62,12,68,1,556
State Police ,,,281,1,0,0,1,1,18,10,0,0,0,24,17,4,47,1,10,3,160,0,0,0,0,0,8
Henrico County PD ,306935,5049.27,15498,12,74,26,20,248,220,3427,91,0,1217,6102,364,292,612,119,54,3001,1306,1,3,1,91,0,262
State Police ,,,139,0,0,0,0,0,2,1,1,0,1,9,1,2,38,1,3,3,88,0,1,0,0,0,9
James City County PD ,67009,3598.02,2411,0,11,7,38,11,45,740,14,0,199,735,40,49,213,13,10,458,215,0,3,0,0,0,34
State Police ,,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,1
Prince George County PD ,35725,2927.92,1046,2,5,5,16,8,12,182,1,0,88,385,25,22,59,5,10,244,123,0,0,0,5,0,27
State Police ,,,15,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,11,0,0,0,0,0,0
Prince William County PD ,393845,4283.41,16870,9,91,42,177,229,345,3809,29,5,1020,6191,450,245,1131,93,127,2476,1775,12,29,0,29,3,219
State Police ,,,133,0,0,0,0,0,3,1,0,0,0,8,2,6,33,1,1,7,76,0,0,0,2,0,2
Roanoke County PD ,84278,3691.35,3111,6,27,19,42,15,59,1049,12,0,254,927,35,52,268,26,3,372,592,1,8,0,1,0,75
State Police ,,,37,0,0,0,0,0,0,1,0,0,0,1,0,0,20,1,0,1,13,0,0,0,0,0,0
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
