Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,20,17,7,11,15,10,10,19,17,16,20,21,3
Tuesday,22,13,9,7,13,12,10,9,22,20,17,20,4
Wednesday,13,9,7,5,8,3,5,17,15,19,13,17,3
Thursday,16,12,7,15,6,7,8,8,10,20,12,19,6
Friday,25,17,10,5,10,10,12,17,26,21,18,16,3
Saturday,25,24,11,5,4,7,13,18,20,20,22,22,4
Sunday,19,28,6,8,12,8,19,13,13,13,30,35,1
Total,140,120,57,56,68,57,77,101,123,129,132,150,24
