Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian
Cities,,,,
Alexandria PD,308,261,47,125
Bedford PD,20,18,2,3
Bristol PD,51,44,7,20
Buena Vista PD,14,14,,2
Charlottesville PD,115,102,13,28
Chesapeake PD,365,306,59,119
Clifton Forge PD,10,10,,2
Colonial Heights PD,48,43,5,4
Covington PD,16,14,2,10
Danville PD,126,102,24,10
Emporia PD,26,26,,10
Fairfax PD,62,55,7,17
Falls Church PD,32,23,9,8
Franklin PD,30,28,2,13
Fredericksburg PD,70,56,14,25
Galax PD,24,22,2,14
Hampton PD,285,238,47,55
Harrisonburg PD,81,76,5,15
Hopewell PD,57,54,3,12
Lexington PD,17,15,2,2
Lynchburg PD,157,140,17,23
Manassas PD,83,65,18,31
Manassas Park PD,30,27,3,12
Martinsville PD,54,51,3,6
Newport News PD,412,352,60,130
Norfolk PD,759,682,77,83
Norton PD,17,17,,6
Petersburg PD,115,96,19,46
Poquoson PD,22,20,2,1
Portsmouth PD,236,209,27,93
Radford PD,33,27,6,13
Richmond PD,729,622,107,164
Roanoke PD,251,225,26,48
Salem PD,65,61,4,28
Staunton PD,44,40,4,14
Suffolk PD,185,152,33,53
Virginia Beach PD,775,673,102,163
Waynesboro PD,43,36,7,10
Williamsburg PD,34,27,7,3
Winchester PD,76,64,12,24
CITY TOTAL,5877,5093,784,1445
