Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,154,58,41,82,135,110,91,101,148,175,205,187,26
Tuesday,144,45,52,104,112,80,114,90,166,170,206,189,16
Wednesday,154,44,40,99,99,74,105,109,130,153,214,182,21
Thursday,138,48,39,94,112,75,109,86,154,169,193,202,22
Friday,174,62,57,92,127,95,109,113,172,193,216,216,20
Saturday,186,85,52,49,99,99,141,105,129,146,191,214,28
Sunday,178,85,44,49,80,91,115,90,113,132,193,167,21
Total,1128,427,325,569,764,624,784,694,1012,1138,1418,1357,154
