Location,Number of Offenses
Air/Bus/Train Terminal,459
Bank/Savings & Loan,316
Bar/Night Club,725
Church/Synagogue/Temple,671
Commercial/Office Building,4107
Construction Site,1076
Convenience Store,5962
Department/Discount Store,16394
Drug Store/Dr Office/Hospital,1969
Field/Woods,1225
Government/Public Building,1269
Grocery/Supermarket,5508
Highway/Road/Alley,13564
Hotel/Motel/Etc.,1727
Jail/Penitentiary,51
Lake/Waterway,440
Liquor Store,1251
Parking Lot/Garage,20440
Rental/Storage Facility,427
Residence/Home,49029
Restaurant,2313
School/College,5655
Service/Gas Station,2023
Specialty Store,4463
Other/Unknown,6880
Total,147944
