Colleges and Universities,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Christopher Newport University PD,,,204,0,0,0,0,0,1,20,0,0,5,119,1,1,3,0,7,39,22,0,0,0,0,0,2
Emory & Henry College PD,,,9,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,2,0,0,0,0,0,0
Ferrum College PD,,,71,0,0,2,0,0,0,6,0,0,9,31,1,0,0,0,0,5,22,0,0,0,0,0,2
George Mason University PD,,,378,0,1,2,2,1,1,33,1,1,14,200,5,6,15,4,1,59,75,0,1,0,0,0,2
Hampton University PD,,,111,0,0,0,0,2,3,12,0,1,31,40,0,1,5,0,0,16,3,0,0,0,0,0,1
J. Sargeant Reynolds Community College PD,,,60,0,0,0,0,0,0,2,0,0,0,35,0,0,0,0,3,21,3,0,0,0,0,0,1
James Madison University PD,,,367,0,0,2,1,0,1,19,1,0,19,159,1,0,18,0,2,128,43,0,0,0,0,0,0
Longwood University PD,,,119,0,0,0,0,0,2,9,0,0,4,47,0,6,0,0,0,39,13,0,0,0,0,0,1
Norfolk State University PD,,,364,0,0,0,3,6,0,23,1,0,58,175,10,3,8,1,1,72,5,0,2,0,0,0,4
N. Virginia Community  College PD,,,302,0,0,0,0,0,1,8,0,0,0,228,1,3,4,0,0,57,8,0,0,0,0,0,0
Old Dominion University PD11,,,407,0,1,0,1,3,1,65,1,0,22,190,4,2,1,0,2,107,21,0,0,0,0,0,2
Radford University PD,,,301,0,0,4,0,0,1,37,1,0,10,74,0,0,4,0,0,130,71,0,0,0,0,0,0
Richard Bland College PD,,,34,0,0,0,0,0,0,9,0,0,1,13,0,0,0,0,0,8,5,0,0,0,0,0,0
Thomas Nelson Community College PD,,,36,0,0,0,0,0,0,6,0,0,0,25,1,0,0,0,0,5,0,0,0,0,0,0,0
University of Mary Washington PD,,,143,0,0,0,0,0,0,10,1,0,0,85,0,0,4,0,1,45,3,0,0,0,0,0,0
University of Richmond PD,,,321,0,0,3,1,1,1,23,3,0,28,117,4,2,2,0,2,131,22,0,0,0,0,0,0
University of Virginia PD,,,497,0,0,0,3,5,1,52,0,1,62,250,5,2,15,3,0,91,32,0,0,0,0,0,2
UVA's College at Wise PD,,,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VA Commonwealth University PD,,,1138,0,0,0,2,6,8,122,1,2,5,641,5,19,21,2,9,129,215,0,0,0,0,1,56
Virginia Tech University PD,,,505,0,0,0,1,0,4,56,2,0,43,239,6,10,11,0,2,104,74,0,1,0,0,0,3
VA Western Community College PD,,,21,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,5,1,0,0,0,0,0,0
Virginia Military Institute PD,,,53,0,0,0,0,0,1,0,0,1,4,9,0,0,2,0,0,34,2,0,0,0,0,0,0
Virginia State University PD,,,202,0,0,1,1,4,8,33,0,0,0,121,4,1,0,0,6,33,13,0,0,0,0,0,0
William & Mary College PD,,,373,0,0,2,0,0,1,16,1,0,23,199,2,19,23,2,0,108,10,0,0,0,0,0,1
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
