Location of Motor Vehicle Theft,Number
Air/Bus/Train Terminal,35
Bank/Savings & Loan,7
Bar/Night Club,24
Church/Synagogue/Temple,21
Commercial/Office Building,192
Construction Site,16
Convenience Store,77
Department/Discount Store,32
Drug Store/Dr Office/Hospital,12
Field/Woods,102
Government/Public Building,27
Grocery/Supermarket,25
Highway/Road/Alley,2141
Hotel/Motel/Etc.,77
Jail/Penitentiary,6
Lake/Waterway,7
Liquor Store,4
Parking Lot/Garage,2852
Rental/Storage Facility,40
Residence/Home,3941
Restaurant,36
School/College,56
Service/Gas Station,127
Specialty Store,110
Other/Unknown,427
Total,10394
