Offenses,Under 10,10--12,13--14,15,16,17,Total
Embezzlement ,0,0,0,0,6,16,22
Stolen Property Offenses ,2,4,28,27,50,49,160
Destruction/Damage/Vandalism ,18,104,274,171,212,212,991
Drug/Narcotic Violations ,0,31,326,393,715,1106,2571
Drug Equipment Violations ,0,1,8,10,2,12,33
Incest ,0,0,1,0,0,0,1
Statutory Rape ,0,0,0,0,8,12,20
Pornography/Obscene Material ,0,3,12,12,4,7,38
Betting/Wagering ,0,0,1,0,0,0,1
Operating/Promoting/Assisting Gambling ,0,0,0,0,0,0,0
Gambling Equipment Violations ,0,0,0,0,0,0,0
Sports Tampering ,0,0,0,0,0,0,0
Prostitution ,0,0,0,1,0,1,2
Assisting or Promoting Prostitution ,0,0,0,0,0,1,1
Bribery ,0,0,0,1,0,0,1
Weapon Law Violations ,3,41,97,66,110,118,435
Total Group A Arrests ,95,1192,3723,3133,4067,4785,16995
Bad Checks ,4,0,0,0,0,2,6
Curfew/Loitering/Vagrancy Violations ,4,84,506,483,797,869,2743
Disorderly Conduct ,3,68,302,265,280,258,1176
Driving Under the Influence ,1,1,1,3,36,123,165
Drunkenness ,9,1,19,45,66,89,229
"Family Offenses, Nonviolent ",0,0,11,10,18,18,57
Liquor Law Violations ,0,22,188,338,608,977,2133
Peeping Tom ,0,0,1,0,2,1,4
Runaway ,15,143,681,839,977,841,3496
Trespass of Real Property ,7,48,198,190,230,325,998
Conspiracy to Commit Group A Offense ,0,0,1,1,0,1,3
All Other Offenses (except most traffic) ,40,237,1064,1215,1931,2377,6864
Total Group B Arrests ,83,604,2972,3389,4945,5881,17874
