Age,Number,Percent Distribution
Under 10 ,178,0.05
10--12 ,1796,0.5
13--14 ,6695,1.86
15,6522,1.81
16,9012,2.5
17,10666,2.96
18,16135,4.48
19,17379,4.83
20,16964,4.71
21,16033,4.45
22,14436,4.01
23,13600,3.78
24,12789,3.55
25-29 ,53635,14.9
30-34 ,38974,10.83
35-39 ,30569,8.49
40-44 ,29685,8.25
45-49 ,27285,7.58
50-54 ,18980,5.27
55-59 ,10153,2.82
60-64 ,4707,1.31
65 & Over ,3815,1.06
TOTAL ,360008,100
