Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,131,8.9
One-Man Vehicle,,
Alone,464,31.5
Assisted,508,34.4
Detective or Special Assignment,,
Alone,8,0.5
Assisted,29,2
Other Assignments,,
Alone,105,7.1
Assisted,230,15.6
TOTAL,1475,100
