Circumstances of Aggravated Assaults,Number
Argument,3813
Assault on Law Officer,400
Drug Dealing,53
Gangland,47
Juvenile Gang,23
Lover's Quarrel,454
Other Felony Involved,42
Other Circumstances,1791
Unknown Circumstances,3087
(Up to 2 circumstances can be reported for each victim.),
