Arrests by Offense,College/University,,Other Agency,,Total Other,,Total State,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,0,0,0,0,0,0,277,17
Manslaughter,0,0,1,0,1,0,12,1
Kidnaping,1,0,0,0,1,0,1043,49
"Sex Offenses, Forcible",2,1,0,0,2,1,1168,266
Robbery,5,2,0,0,5,2,1594,376
Aggravated Assault,5,1,3,0,8,1,4165,475
Simple Assault/Intimidation,85,3,20,1,105,4,38007,5087
Arson,0,0,0,0,0,0,155,116
Extortion/Blackmail,1,0,0,0,1,0,57,47
Burglary,11,0,0,0,11,0,3515,828
Larceny,79,2,75,2,154,4,25614,5066
Motor Vehicle Theft,1,0,13,0,14,0,819,197
Counterfeiting/Forgery,9,0,135,4,144,4,2230,42
Fraud,11,0,97,1,108,1,4448,152
Embezzlement,7,0,13,0,20,0,1630,22
Stolen Property,14,1,6,0,20,1,836,160
Vandalism,19,0,8,2,27,2,3643,991
Drug/Narcotic Offenses,304,3,308,26,612,29,31896,2604
"Sex Offenses, Nonforcible",0,0,0,0,0,0,133,21
Pornography,0,0,0,0,0,0,125,38
Gambling,0,0,0,0,0,0,77,1
Prostitution,0,0,0,0,0,0,689,3
Bribery,0,0,1,0,1,0,16,1
Weapon Law Violations,12,1,287,15,299,16,3380,435
TOTAL GROUP A,566,14,967,51,1533,65,125529,16995
Bad Checks,1,0,8,0,9,0,2833,6
Curfew/Loitering/Vagrancy,0,1,0,0,0,1,234,2743
Disorderly Conduct,82,3,17,0,99,3,4538,1176
Driving Under Influence,332,0,205,2,537,2,29226,165
Drunkenness,885,2,240,1,1125,3,34908,229
"Family Offenses, Nonforcible",1,0,17,0,18,0,2035,57
Liquor Laws Violations,768,13,1846,81,2614,94,11763,2133
Peeping Tom,2,0,0,0,2,0,54,4
Runaway,0,1,0,0,0,1,0,3496
Trespass of Real Property,194,1,791,21,985,22,10581,998
Conspiracy,0,0,2,0,2,0,85,3
All Other (except Traffic),459,5,9719,148,10178,153,103353,6864
TOTAL GROUP B,2724,26,12845,253,15569,279,199610,17874
GRAND TOTAL,3290,40,13812,304,17102,344,325139,34869
