Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,15,17,8,12,16,15,12,18,18,20,22,20,8
Tuesday,21,18,11,11,10,13,11,15,25,22,31,26,3
Wednesday,22,14,13,8,18,13,20,19,25,24,19,15,8
Thursday,20,14,12,6,19,18,25,10,25,23,15,13,3
Friday,21,24,4,7,15,10,16,14,28,23,29,26,6
Saturday,27,24,16,9,9,7,16,21,20,22,28,28,8
Sunday,31,20,18,8,7,7,15,21,25,13,24,19,5
TOTAL,157,131,82,61,94,83,115,118,166,147,168,147,41
