Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,81,53,32,21,28,40,49,74,47,80,125,131,9
Tuesday,94,50,25,18,28,55,42,47,53,111,127,124,4
Wednesday,92,53,27,16,29,30,47,62,64,82,132,137,9
Thursday,95,53,20,24,23,38,55,54,62,99,111,177,5
Friday,112,65,24,17,39,53,57,51,75,76,131,169,5
Saturday,139,93,58,39,31,42,40,59,61,98,117,159,4
Sunday,133,92,54,18,16,29,31,46,55,67,117,117,8
TOTAL,746,459,240,153,194,287,321,393,417,613,860,1014,44
