Race,Male 0 - 18,Male 19 - 35,Male 36+ ,Female 0 - 18,Female 19 - 35,Female 36+
White,391,2892,4740,276,2413,3303
Black,110,1287,1568,147,2282,1813
Am. Ind./Alskn,0,12,13,0,6,9
Asian/Pacfc Isl.,6,64,76,4,49,58
Unknown,87,65,70,73,27,49
TOTAL,594,4320,6467,500,4777,5232
