Location,Total
Air/Bus/Train Terminal,58
Bank/Savings & Loan,10
Bar/Night Club,45
Church/Synagogue/Temple,48
Commercial/Office Building,355
Construction Site,40
Convenience Store,152
Department/Discount Store,60
Drug Store/Dr Office/Hospital,31
Field/Woods,73
Government/Public Building,32
Grocery/Supermarket,38
Highway/Road/Alley,3769
Hotel/Motel/Etc.,165
Jail/Penitentiary,5
Lake/Waterway,7
Liquor Store,1
Parking Lot/Garage,4677
Rental/Storage Facility,88
Residence/Home,4854
Restaurant,97
School/College,96
Service/Gas Station,293
Specialty Store,201
Other/Unknown,977
TOTAL,16172
